"plan","feature","year","value"
"Plan B","Number Of Claims Millions","year_2005_2006",1.6
"Plan B","Number Of Claims Millions","year_2006_2007",1.9
"Plan B","Number Of Claims Millions","year_2007_2008",2.57
"Plan B","Number Of Claims Millions","year_2008_2009",3.28
"Plan B","Number Of Claims Millions","year_2009_2010",3.72
"Plan B","Number Of Beneficiaries Millions","year_2005_2006",0.02
"Plan B","Number Of Beneficiaries Millions","year_2006_2007",0.02
"Plan B","Number Of Beneficiaries Millions","year_2007_2008",0.03
"Plan B","Number Of Beneficiaries Millions","year_2008_2009",0.03
"Plan B","Number Of Beneficiaries Millions","year_2009_2010",0.03
"Plan B","Ingredient Costs Paid Millions","year_2005_2006",32.48
"Plan B","Ingredient Costs Paid Millions","year_2006_2007",32.82
"Plan B","Ingredient Costs Paid Millions","year_2007_2008",33.42
"Plan B","Ingredient Costs Paid Millions","year_2008_2009",35.26
"Plan B","Ingredient Costs Paid Millions","year_2009_2010",37.59
"Plan B","Professional Fees Paid Millions","year_2005_2006",6.72
"Plan B","Professional Fees Paid Millions","year_2006_2007",8.15
"Plan B","Professional Fees Paid Millions","year_2007_2008",8.15
"Plan B","Professional Fees Paid Millions","year_2008_2009",8.58
"Plan B","Professional Fees Paid Millions","year_2009_2010",8.96
"Plan B","Total Amount Paid Millions","year_2005_2006",39.2
"Plan B","Total Amount Paid Millions","year_2006_2007",40.98
"Plan B","Total Amount Paid Millions","year_2007_2008",41.57
"Plan B","Total Amount Paid Millions","year_2008_2009",43.84
"Plan B","Total Amount Paid Millions","year_2009_2010",46.55
"Plan B","Avg Number Of Claims Per Beneficiary","year_2005_2006",66.14
"Plan B","Avg Number Of Claims Per Beneficiary","year_2006_2007",77.94
"Plan B","Avg Number Of Claims Per Beneficiary","year_2007_2008",101.85
"Plan B","Avg Number Of Claims Per Beneficiary","year_2008_2009",122.31
"Plan B","Avg Number Of Claims Per Beneficiary","year_2009_2010",135
"Plan B","Avg Total Paid Cost Per Beneficiary","year_2005_2006",1622.63
"Plan B","Avg Total Paid Cost Per Beneficiary","year_2006_2007",1678.77
"Plan B","Avg Total Paid Cost Per Beneficiary","year_2007_2008",1646.95
"Plan B","Avg Total Paid Cost Per Beneficiary","year_2008_2009",1634.41
"Plan B","Avg Total Paid Cost Per Beneficiary","year_2009_2010",1688.64
"Plan B","Avg Professional Fees Paid Per Claim","year_2005_2006",4.21
"Plan B","Avg Professional Fees Paid Per Claim","year_2006_2007",4.29
"Plan B","Avg Professional Fees Paid Per Claim","year_2007_2008",3.17
"Plan B","Avg Professional Fees Paid Per Claim","year_2008_2009",2.62
"Plan B","Avg Professional Fees Paid Per Claim","year_2009_2010",2.41
"Plan B","Avg Ingredient Cost Paid Per Claim","year_2005_2006",20.33
"Plan B","Avg Ingredient Cost Paid Per Claim","year_2006_2007",17.25
"Plan B","Avg Ingredient Cost Paid Per Claim","year_2007_2008",13
"Plan B","Avg Ingredient Cost Paid Per Claim","year_2008_2009",10.75
"Plan B","Avg Ingredient Cost Paid Per Claim","year_2009_2010",10.1
"Plan B","Avg Total Amount Paid Per Claim","year_2005_2006",24.53
"Plan B","Avg Total Amount Paid Per Claim","year_2006_2007",21.54
"Plan B","Avg Total Amount Paid Per Claim","year_2007_2008",16.17
"Plan B","Avg Total Amount Paid Per Claim","year_2008_2009",13.36
"Plan B","Avg Total Amount Paid Per Claim","year_2009_2010",12.51
"Plan B","Avg Day Supply Per Claim","year_2005_2006",21.54
"Plan B","Avg Day Supply Per Claim","year_2006_2007",18.4
"Plan B","Avg Day Supply Per Claim","year_2007_2008",14.04
"Plan B","Avg Day Supply Per Claim","year_2008_2009",11.49
"Plan B","Avg Day Supply Per Claim","year_2009_2010",10.61
"Plan C","Number Of Claims Millions","year_2005_2006",6.72
"Plan C","Number Of Claims Millions","year_2006_2007",7.32
"Plan C","Number Of Claims Millions","year_2007_2008",8.16
"Plan C","Number Of Claims Millions","year_2008_2009",8.99
"Plan C","Number Of Claims Millions","year_2009_2010",9.31
"Plan C","Number Of Beneficiaries Millions","year_2005_2006",0.15
"Plan C","Number Of Beneficiaries Millions","year_2006_2007",0.15
"Plan C","Number Of Beneficiaries Millions","year_2007_2008",0.15
"Plan C","Number Of Beneficiaries Millions","year_2008_2009",0.16
"Plan C","Number Of Beneficiaries Millions","year_2009_2010",0.17
"Plan C","Ingredient Costs Paid Millions","year_2005_2006",164.44
"Plan C","Ingredient Costs Paid Millions","year_2006_2007",169.82
"Plan C","Ingredient Costs Paid Millions","year_2007_2008",177.24
"Plan C","Ingredient Costs Paid Millions","year_2008_2009",190.61
"Plan C","Ingredient Costs Paid Millions","year_2009_2010",207.26
"Plan C","Professional Fees Paid Millions","year_2005_2006",55.55
"Plan C","Professional Fees Paid Millions","year_2006_2007",60.92
"Plan C","Professional Fees Paid Millions","year_2007_2008",68.52
"Plan C","Professional Fees Paid Millions","year_2008_2009",74.97
"Plan C","Professional Fees Paid Millions","year_2009_2010",70.63
"Plan C","Total Amount Paid Millions","year_2005_2006",219.99
"Plan C","Total Amount Paid Millions","year_2006_2007",230.75
"Plan C","Total Amount Paid Millions","year_2007_2008",245.76
"Plan C","Total Amount Paid Millions","year_2008_2009",265.58
"Plan C","Total Amount Paid Millions","year_2009_2010",277.9
"Plan C","Avg Number Of Claims Per Beneficiary","year_2005_2006",44.49
"Plan C","Avg Number Of Claims Per Beneficiary","year_2006_2007",50.32
"Plan C","Avg Number Of Claims Per Beneficiary","year_2007_2008",55.41
"Plan C","Avg Number Of Claims Per Beneficiary","year_2008_2009",57.84
"Plan C","Avg Number Of Claims Per Beneficiary","year_2009_2010",54.51
"Plan C","Avg Total Paid Cost Per Beneficiary","year_2005_2006",1457.44
"Plan C","Avg Total Paid Cost Per Beneficiary","year_2006_2007",1586.86
"Plan C","Avg Total Paid Cost Per Beneficiary","year_2007_2008",1669.53
"Plan C","Avg Total Paid Cost Per Beneficiary","year_2008_2009",1709.58
"Plan C","Avg Total Paid Cost Per Beneficiary","year_2009_2010",1627.59
"Plan C","Avg Professional Fees Paid Per Claim","year_2005_2006",8.27
"Plan C","Avg Professional Fees Paid Per Claim","year_2006_2007",8.33
"Plan C","Avg Professional Fees Paid Per Claim","year_2007_2008",8.4
"Plan C","Avg Professional Fees Paid Per Claim","year_2008_2009",8.34
"Plan C","Avg Professional Fees Paid Per Claim","year_2009_2010",7.59
"Plan C","Avg Ingredient Cost Paid Per Claim","year_2005_2006",24.49
"Plan C","Avg Ingredient Cost Paid Per Claim","year_2006_2007",23.21
"Plan C","Avg Ingredient Cost Paid Per Claim","year_2007_2008",21.73
"Plan C","Avg Ingredient Cost Paid Per Claim","year_2008_2009",21.21
"Plan C","Avg Ingredient Cost Paid Per Claim","year_2009_2010",22.27
"Plan C","Avg Total Amount Paid Per Claim","year_2005_2006",32.76
"Plan C","Avg Total Amount Paid Per Claim","year_2006_2007",31.54
"Plan C","Avg Total Amount Paid Per Claim","year_2007_2008",30.13
"Plan C","Avg Total Amount Paid Per Claim","year_2008_2009",29.56
"Plan C","Avg Total Amount Paid Per Claim","year_2009_2010",29.86
"Plan C","Avg Day Supply Per Claim","year_2005_2006",17.02
"Plan C","Avg Day Supply Per Claim","year_2006_2007",15.86
"Plan C","Avg Day Supply Per Claim","year_2007_2008",14.84
"Plan C","Avg Day Supply Per Claim","year_2008_2009",14.11
"Plan C","Avg Day Supply Per Claim","year_2009_2010",14.71
"Plan D","Number Of Claims","year_2005_2006",1565
"Plan D","Number Of Claims","year_2006_2007",1547
"Plan D","Number Of Claims","year_2007_2008",1724
"Plan D","Number Of Claims","year_2008_2009",1788
"Plan D","Number Of Claims","year_2009_2010",1779
"Plan D","Number Of Claims Millions","year_2005_2006",0.001565
"Plan D","Number Of Claims Millions","year_2006_2007",0.001547
"Plan D","Number Of Claims Millions","year_2007_2008",0.001724
"Plan D","Number Of Claims Millions","year_2008_2009",0.001788
"Plan D","Number Of Claims Millions","year_2009_2010",0.001779
"Plan D","Number Of Beneficiaries","year_2005_2006",274
"Plan D","Number Of Beneficiaries","year_2006_2007",280
"Plan D","Number Of Beneficiaries","year_2007_2008",277
"Plan D","Number Of Beneficiaries","year_2008_2009",275
"Plan D","Number Of Beneficiaries","year_2009_2010",282
"Plan D","Number Of Beneficiaries Millions","year_2005_2006",0.000274
"Plan D","Number Of Beneficiaries Millions","year_2006_2007",0.00028
"Plan D","Number Of Beneficiaries Millions","year_2007_2008",0.000277
"Plan D","Number Of Beneficiaries Millions","year_2008_2009",0.000275
"Plan D","Number Of Beneficiaries Millions","year_2009_2010",0.000282
"Plan D","Ingredient Costs Paid Millions","year_2005_2006",0.84
"Plan D","Ingredient Costs Paid Millions","year_2006_2007",0.88
"Plan D","Ingredient Costs Paid Millions","year_2007_2008",1
"Plan D","Ingredient Costs Paid Millions","year_2008_2009",1
"Plan D","Ingredient Costs Paid Millions","year_2009_2010",1.11
"Plan D","Professional Fees Paid","year_2005_2006",12977
"Plan D","Professional Fees Paid","year_2006_2007",12881
"Plan D","Professional Fees Paid","year_2007_2008",14578
"Plan D","Professional Fees Paid","year_2008_2009",15154
"Plan D","Professional Fees Paid","year_2009_2010",14904
"Plan D","Professional Fees Paid","year_2005_2006",0.012977
"Plan D","Professional Fees Paid","year_2006_2007",0.012881
"Plan D","Professional Fees Paid","year_2007_2008",0.014578
"Plan D","Professional Fees Paid","year_2008_2009",0.015154
"Plan D","Professional Fees Paid","year_2009_2010",0.014904
"Plan D","Total Amount Paid Millions","year_2005_2006",0.85
"Plan D","Total Amount Paid Millions","year_2006_2007",0.89
"Plan D","Total Amount Paid Millions","year_2007_2008",1.01
"Plan D","Total Amount Paid Millions","year_2008_2009",1.01
"Plan D","Total Amount Paid Millions","year_2009_2010",1.12
"Plan D","Avg Number Of Claims Per Beneficiary","year_2005_2006",5.71
"Plan D","Avg Number Of Claims Per Beneficiary","year_2006_2007",5.53
"Plan D","Avg Number Of Claims Per Beneficiary","year_2007_2008",6.22
"Plan D","Avg Number Of Claims Per Beneficiary","year_2008_2009",6.5
"Plan D","Avg Number Of Claims Per Beneficiary","year_2009_2010",6.31
"Plan D","Avg Total Paid Cost Per Beneficiary","year_2005_2006",3103.87
"Plan D","Avg Total Paid Cost Per Beneficiary","year_2006_2007",3184.64
"Plan D","Avg Total Paid Cost Per Beneficiary","year_2007_2008",3650.65
"Plan D","Avg Total Paid Cost Per Beneficiary","year_2008_2009",3679.03
"Plan D","Avg Total Paid Cost Per Beneficiary","year_2009_2010",3977.92
"Plan D","Avg Professional Fees Paid Per Claim","year_2005_2006",8.29
"Plan D","Avg Professional Fees Paid Per Claim","year_2006_2007",8.33
"Plan D","Avg Professional Fees Paid Per Claim","year_2007_2008",8.46
"Plan D","Avg Professional Fees Paid Per Claim","year_2008_2009",8.48
"Plan D","Avg Professional Fees Paid Per Claim","year_2009_2010",8.38
"Plan D","Avg Ingredient Cost Paid Per Claim","year_2005_2006",535.13
"Plan D","Avg Ingredient Cost Paid Per Claim","year_2006_2007",568.08
"Plan D","Avg Ingredient Cost Paid Per Claim","year_2007_2008",578.1
"Plan D","Avg Ingredient Cost Paid Per Claim","year_2008_2009",557.37
"Plan D","Avg Ingredient Cost Paid Per Claim","year_2009_2010",622.19
"Plan D","Avg Total Amount Paid Per Claim","year_2005_2006",543.43
"Plan D","Avg Total Amount Paid Per Claim","year_2006_2007",576.41
"Plan D","Avg Total Amount Paid Per Claim","year_2007_2008",586.56
"Plan D","Avg Total Amount Paid Per Claim","year_2008_2009",565.85
"Plan D","Avg Total Amount Paid Per Claim","year_2009_2010",630.56
"Plan D","Avg Day Supply Per Claim","year_2005_2006",46.71
"Plan D","Avg Day Supply Per Claim","year_2006_2007",47.4
"Plan D","Avg Day Supply Per Claim","year_2007_2008",43.2
"Plan D","Avg Day Supply Per Claim","year_2008_2009",40.18
"Plan D","Avg Day Supply Per Claim","year_2009_2010",41.53
"Plan F","Number Of Claims","year_2005_2006",33852
"Plan F","Number Of Claims","year_2006_2007",36546
"Plan F","Number Of Claims","year_2007_2008",38389
"Plan F","Number Of Claims","year_2008_2009",39574
"Plan F","Number Of Claims","year_2009_2010",39598
"Plan F","Number Of Claims Millions","year_2005_2006",0.033852
"Plan F","Number Of Claims Millions","year_2006_2007",0.036546
"Plan F","Number Of Claims Millions","year_2007_2008",0.038389
"Plan F","Number Of Claims Millions","year_2008_2009",0.039574
"Plan F","Number Of Claims Millions","year_2009_2010",0.039598
"Plan F","Number Of Beneficiaries","year_2005_2006",2287
"Plan F","Number Of Beneficiaries","year_2006_2007",2328
"Plan F","Number Of Beneficiaries","year_2007_2008",2390
"Plan F","Number Of Beneficiaries","year_2008_2009",2441
"Plan F","Number Of Beneficiaries","year_2009_2010",2490
"Plan F","Number Of Beneficiaries","year_2005_2006",0.002287
"Plan F","Number Of Beneficiaries","year_2006_2007",0.002328
"Plan F","Number Of Beneficiaries","year_2007_2008",0.00239
"Plan F","Number Of Beneficiaries","year_2008_2009",0.002441
"Plan F","Number Of Beneficiaries","year_2009_2010",0.00249
"Plan F","Ingredient Costs Paid Millions","year_2005_2006",3.75
"Plan F","Ingredient Costs Paid Millions","year_2006_2007",3.85
"Plan F","Ingredient Costs Paid Millions","year_2007_2008",3.96
"Plan F","Ingredient Costs Paid Millions","year_2008_2009",3.92
"Plan F","Ingredient Costs Paid Millions","year_2009_2010",4.22
"Plan F","Professional Fees Paid Millions","year_2005_2006",0.27
"Plan F","Professional Fees Paid Millions","year_2006_2007",0.29
"Plan F","Professional Fees Paid Millions","year_2007_2008",0.31
"Plan F","Professional Fees Paid Millions","year_2008_2009",0.33
"Plan F","Professional Fees Paid Millions","year_2009_2010",0.32
"Plan F","Total Amount Paid Millions","year_2005_2006",4.02
"Plan F","Total Amount Paid Millions","year_2006_2007",4.15
"Plan F","Total Amount Paid Millions","year_2007_2008",4.27
"Plan F","Total Amount Paid Millions","year_2008_2009",4.25
"Plan F","Total Amount Paid Millions","year_2009_2010",4.54
"Plan F","Avg Number Of Claims Per Beneficiary","year_2005_2006",14.8
"Plan F","Avg Number Of Claims Per Beneficiary","year_2006_2007",15.7
"Plan F","Avg Number Of Claims Per Beneficiary","year_2007_2008",16.06
